ID товара,Название препарата,Рецептурность препарата,Производитель,Активное вещество,Текущая цена,Старая цена,Ссылка на картинку,Ссылка на товар,Название региона
332593,Диаглинид Таблетки 1 мг 30 шт,По рецепту,Акрихин,Репаглинид,140,,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/upheuZUB7vQMbYfxVX-t-300x300,https://gorzdrav.org/p/diaglinid-tab-1mg-30-332593/,Москва
42422,Комбоглиз Пролонг Таблетки с модифицированным высвобождением покрытые пленочной оболочкой 1000 мг + 5 мг 28 шт,По рецепту,AstraZeneca,Метформин+Саксаглиптин,3643,,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/-KXvtZUB4hniyrJCJ2bA-300x300,https://gorzdrav.org/p/kombogliz-prolong-tabl-p-pl-ob-1000mg-5mg-n28-42422/,Москва
40377,Амарил Таблетки 4 мг 90 шт,По рецепту,Санофи,Глимепирид,5497,,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/M7bWtZUBrbRC1cy5oXHe-300x300,https://gorzdrav.org/p/amaril-tabl-4mg-n90-40377/,Москва
60978,Джардинс Таблетки покрытые пленочной оболочкой 25 мг 30 шт,По рецепту,Берингер,Эмпаглифлозин,2941,3268,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/hWxCtpUBybk0vr4zyAwc-192x300,https://gorzdrav.org/p/dzhardins-tabl-p-pl-ob-25mg-n30-60978/,Москва
590104,Форметин лонг Таблетки с пролонгированным высвобождением 750 мг 60 шт,По рецепту,Фармстандарт,Метформин,482,,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/vYouJZoBy6WW8PWFi_Py-300x300,https://gorzdrav.org/p/formetin-long-tabl-s-prolong-vysvob-pok-p-o-750-mg-60-590104/,Москва
33451,Дибикор Таблетки 250 мг 60 шт,,ПИК-Фарма,Таурин,471,,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/ispHfZgBEl21vw0W4rgX-300x300,https://gorzdrav.org/p/dibikor-tabl-250mg-n60-33451/,Москва
9386,Сиофор Таблетки 850 мг 60 шт,По рецепту,Berlin-Chemie,Метформин,182,,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/cwaPuJUBybk0vr4z4QbP-300x300,https://gorzdrav.org/p/siofor-tab-p-o-850mg-60-9386/,Москва
667694-2,"Набор из двух упаковок Седжаро Раствор для подкожного введения 12,5 мг/доза шприц-ручка + игла 4 шт",По рецепту,,,28512,31512,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/w9IOLpwB-jufNU_rG_Ey-300x300,https://gorzdrav.org/p/bundle_sedzharo-0-0125-doza-shpricruchka-rr-p-k-igla-n4-667694-2/,Москва
194253,"Випдомет таблетки 12,5 мг + 500 мг 56 шт",По рецепту,Штада,Алоглиптин+Метформин,2566,,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/Gd3it5UBybk0vr4zfp8m-300x300,https://gorzdrav.org/p/vipdomet-tabl-p-o-12mg-500mg-n56-194253/,Москва
41471-2,Набор из двух упаковок Галвус Мет Таблетки 50 мг + 1000 мг 30 шт,По рецепту,,,2722,3522,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/QnCNb5sB-jufNU_rPc3L-300x300,https://gorzdrav.org/p/bundle_galvus-met-tabl-p-o-50mg-1000mg-n30-41471-2/,Москва
192877,Ринсулин Р Раствор для инъекций 100 МЕ/мл 5 шт,По рецепту,Герофарм,Инсулин растворимый [человеческий генно-инженерный],1192,,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/XJ3gt5UB4hniyrJCop2U-300x300,https://gorzdrav.org/p/rinsulin-r-rr-d-in-3ml-100me-ml-n5-192877/,Москва
626426,Асиглия Мет Таблетки 1000 мг + 50 мг 56 шт,По рецепту,КРКА,Метформин+Ситаглиптин,1158,,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/_BIkupUBarzHQIadXdp6-300x300,https://gorzdrav.org/p/asiglija-met-1-0-0-05-n56-tabl-p-plen-oboloch-626426/,Москва
36297,Тиоктацид Таблетки покрытые пленочной оболочкой 600 мг 30 шт,По рецепту,Меда Фарма,Тиоктовая кислота,1968,,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/ijCutZUBybk0vr4zurIL-300x300,https://gorzdrav.org/p/tioktacid-tabl-p-pl-ob-600mg-n30-36297/,Москва
557141,Глимепирид-ФС Таблетки 3 мг 30 шт,По рецепту,Фармстандарт,Глимепирид,83,,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/ZtStupUBarzHQIad0UBU-300x300,https://gorzdrav.org/p/glimepiridfs-tabl-3mg-n30-557141/,Москва
667602-3,Набор из трех упаковок Семавик Некст Раствор для подкожного введения 1 мг/доза шприц-ручка 3 мл 1 шт + иглы 4 шт,По рецепту,,,13488,14988,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/ORMWLpwBOkTyP3bfG9vK-300x300,https://gorzdrav.org/p/bundle_semavik-nekst-0-001-doza-3ml-n1-shpricruchka-rr-p-k-igla-odnoraz-n4-667602-3/,Москва
